No,CP,HighVTL20days,Cycle20,LowVTL20days,HighVTL80days,Cycle80,LowVTL80days,HighVTL360days,Cycle320,LowVTL360days,20 Day FLD
207,1.016050245,-0.080496409,  ,0.164277627,NA,  ,0.33288646,NA,  ,NA,0.565985036
208,0.979652963,-0.085564606,  ,0.163701594,NA,  ,0.335029924,NA,  ,NA,0.61564367
209,1.054069454,-0.090632803,  ,0.163125561,NA,  ,0.337173388,NA,  ,NA,0.66332367
210,1.078703284,-0.095701,HIGH,0.162549527,1.078703284,HIGH,0.339316852,NA,  ,NA,0.707817403
211,1.05,-0.100769197,  ,0.161973494,1.085618804,  ,0.341460316,NA,  ,NA,0.755717403
212,1.070012624,-0.105837394,  ,0.161397461,1.092534324,  ,0.34360378,NA,  ,NA,0.809608224
213,1.05,-0.110905591,  ,0.160821427,1.099449845,  ,0.345747244,NA,  ,NA,0.855059833
214,1.031687629,-0.115973788,  ,0.160245394,1.106365365,  ,0.347890708,NA,  ,NA,0.889715767
215,1.039923198,-0.121041985,  ,0.159669361,1.113280885,  ,0.350034172,NA,  ,NA,0.925042613
216,0.898955915,-0.126110182,  ,0.159093327,1.120196405,  ,0.352177636,NA,  ,NA,0.960652776
217,0.944028117,-0.131178379,  ,0.158517294,1.127111926,  ,0.3543211,NA,  ,NA,0.986558142
218,0.865,-0.136246576,  ,0.157941261,1.134027446,  ,0.356464564,NA,  ,NA,1.000390994
219,0.835747428,-0.141314773,LOW,0.835747428,1.140942966,  ,0.358608028,NA,  ,NA,1.013759757
220,0.87704178,-0.14638297,  ,0.852997316,1.147858486,  ,0.360751492,NA,  ,NA,1.02880994
221,0.9,-0.151451167,  ,0.870247204,1.154774006,  ,0.362894956,NA,  ,NA,1.026905531
222,0.989095266,-0.156519364,HIGH,0.887497093,1.161689527,  ,0.36503842,NA,  ,NA,1.019703318
223,0.914652002,-0.161587561,  ,0.904746981,1.168605047,  ,0.367181884,NA,  ,NA,1.008238022
224,0.958,-0.166655758,  ,0.921996869,1.175520567,  ,0.369325348,NA,  ,NA,0.98640582
225,0.895033115,-0.171723954,  ,0.939246757,1.182436087,  ,0.371468811,NA,  ,NA,0.966239669
226,0.860220923,-0.176792151,  ,0.956496645,1.189351607,  ,0.373612275,NA,  ,NA,0.951239669
227,0.921096892,-0.181860348,  ,0.973746533,1.196267128,  ,0.375755739,NA,  ,NA,0.943147933
228,0.9399,-0.186928545,  ,0.990996422,1.203182648,  ,0.377899203,NA,  ,NA,0.929613134
229,0.939073383,-0.191996742,  ,1.00824631,1.210098168,  ,0.380042667,NA,  ,NA,0.922244371
230,0.9011,-0.197064939,  ,1.025496198,1.217013688,  ,0.382186131,NA,  ,NA,0.907755362
231,0.907840607,-0.202133136,  ,1.042746086,1.223929209,  ,0.384329595,NA,  ,NA,0.903881863
232,0.884770973,-0.207201333,  ,1.059995974,1.230844729,  ,0.386473059,NA,  ,NA,0.901588741
233,0.877583864,-0.21226953,  ,1.077245862,1.237760249,  ,0.388616523,NA,  ,NA,0.909078741
234,0.866071591,-0.217337727,  ,1.094495751,1.244675769,  ,0.390759987,NA,  ,NA,0.919411336
235,0.86,-0.222405924,  ,1.111745639,1.251591289,  ,0.392903451,NA,  ,NA,0.921817158
236,0.92067031,-0.227474121,  ,1.128995527,1.25850681,  ,0.395046915,NA,  ,NA,0.922601219
237,0.88,-0.232542318,  ,1.146245415,1.26542233,  ,0.397190379,NA,  ,NA,0.91216879
238,0.917815513,0.917815513,  ,1.163495303,1.27233785,  ,0.399333843,NA,  ,NA,0.908461976
239,0.89249,0.911961778,  ,1.180745191,1.27925337,  ,0.401477307,NA,  ,NA,0.899269135
240,0.893924923,0.906108043,  ,1.19799508,1.28616889,  ,0.403620771,NA,  ,NA,0.895765823
241,0.87224,0.900254308,  ,1.215244968,1.293084411,  ,0.405764235,NA,  ,NA,0.901810762
242,0.851211666,0.894400573,  ,1.232494856,1.299999931,  ,0.407907699,NA,  ,NA,0.897701073
