"","CP","VTL20days","start_end_20","Upcross20","VTL80days","start_end_80","Upcross80","VTL360days","start_end_360","Upcross360"
"310","7.065256784","0.66948756227586",NA,NA,"1.77025530542857",NA,NA,NA,NA,NA
"311","7.402660582","0.665855656551722",NA,NA,"1.77717082564285",NA,NA,NA,NA,NA
"312","8.569289637","0.662223750827584",NA,NA,"1.78408634585714",NA,NA,NA,NA,NA
"313","8.782155434","0.658591845103446",NA,NA,"1.79100186607142",NA,NA,NA,NA,NA
"314","8.528658468","0.654959939379308",NA,NA,"1.79791738628571",NA,NA,NA,NA,NA
"315","8.34926912","0.65132803365517",NA,NA,"1.80483290649999",NA,NA,NA,NA,NA
"316","8.400953472","0.647696127931032",NA,NA,"1.81174842671428",NA,NA,NA,NA,NA
"317","8.779342465","0.644064222206894",NA,NA,"1.81866394692856",NA,NA,NA,NA,NA
"318","8.721576422","0.640432316482756",NA,NA,"1.82557946714285",NA,NA,NA,NA,NA
"319","9.623777232","0.636800410758618",NA,NA,"1.83249498735714",NA,NA,NA,NA,NA
"320","10.70276023","0.633168505034481",NA,NA,"1.83941050757142",NA,NA,NA,NA,NA
"321","14.26464677","0.629536599310343",NA,NA,"1.84632602778571",NA,NA,NA,NA,NA
"322","18.31273873","0.625904693586205",NA,NA,"1.85324154799999",NA,NA,NA,NA,NA
"323","16.5433424","0.622272787862067",NA,NA,"1.86015706821428",NA,NA,NA,NA,NA
"324","18.40209864","0.618640882137929",NA,NA,"1.86707258842856",NA,NA,NA,NA,NA
"325","23.23787846","0.615008976413791","END",NA,"1.87398810864285","END",NA,NA,NA,NA
"326","29.02992133","29.02992133","START",NA,"29.02992133","START",NA,NA,NA,NA
"327","28.79054402","29.8334169631923",NA,NA,"29.269031175094",NA,NA,NA,NA,NA
"328","24.04939923","30.6369125963846",NA,NA,"29.508141020188",NA,NA,NA,NA,NA
"329","14.74974663","31.4404082295769",NA,NA,"29.7472508652821",NA,NA,NA,NA,NA
"330","18.85014473","32.2439038627692",NA,NA,"29.9863607103761",NA,NA,NA,NA,NA
