No,CP,Cycle20,Cycle80,Cycle320
589,4.926420852,  ,  ,  
590,4.952515756,  ,  ,  
591,4.857257776,  ,  ,  
592,4.872748756,  ,  ,  
593,4.922072124,  ,  ,  
594,4.714823587,  ,  ,  
595,4.628193252,LOW,  ,  
596,4.834144482,  ,  ,  
597,4.982392904,  ,  ,  
598,4.987841352,  ,  ,  
599,4.949112885,  ,  ,  
600,4.934979495,  ,  ,  
601,4.872297847,  ,  ,  
602,4.841423805,  ,  ,  
603,4.892028752,  ,  ,  
604,4.910839379,  ,  ,  
605,5.290880279,  ,  ,  
606,5.390543292,HIGH,HIGH,  
607,5.340820899,  ,  ,  
608,5.339574791,  ,  ,  
609,5.236003554,  ,  ,  
610,5.270148985,  ,  ,  
611,4.678672553,  ,  ,  
612,4.830830216,  ,  ,  
613,4.817229525,  ,  ,  
614,4.729608505,  ,  ,  
615,4.691643177,  ,  ,  
616,4.651986266,  ,  ,  
617,4.552270262,LOW,,  
618,4.63272236,  ,  ,  
619,4.811340735,  ,,  
620,4.790589392,  ,  ,  
621,4.794066572,  ,  ,  
622,4.861409357,  ,  ,  
623,4.889776873,  ,  ,  
624,4.793325677,  ,  ,  
625,4.983045479,HIGH,  ,  
626,4.956233193,  ,  ,  
627,4.917842178,  ,  ,  
628,4.920849245,  ,  ,  
629,4.949107432,  ,  ,  
630,4.70971191,LOW,  ,  
631,4.778818849,  ,  ,  
632,4.852547381,  ,  ,  
633,4.841417594,  ,  ,  
634,4.915250717,  ,  ,  
635,4.901158147,  ,  ,  
636,4.934406733,  ,  ,  
637,4.956364661,  ,  ,  
638,4.961600338,  ,  ,  
639,4.950764569,  ,  ,  
640,4.968744508,  ,  ,  
641,5.124377443,  ,  ,  
642,5.130906511,  ,  ,  
643,5.366515968,HIGH,,  
644,5.282550339,  ,  ,  
645,5.195608995,  ,  ,  
646,5.110888192,  ,  ,  
647,5.087867262,  ,  ,  
648,5.148816245,  ,  ,  
649,5.097419286,  ,  ,  
650,5.09588734,  ,  ,  
651,4.970736653,  ,  ,  
652,4.902606178,LOW,LOW,  
653,4.94211681,  ,  ,  
654,4.987137227,  ,  ,  
655,5.053437354,  ,  ,  
656,5.118872979,HIGH,  ,  
657,5.085507088,  ,  ,  
658,5.056639565,  ,  ,  
659,5.047800773,  ,  ,  
660,5.067555867,  ,  ,  
661,5.023466423,  ,  ,  
662,5.041306236,  ,  ,  
663,4.92748872,LOW,  ,  
664,4.963709977,  ,  ,  
665,4.946532235,  ,  ,  
666,4.944795054,  ,  ,  
667,5.011435922,  ,  ,  
668,5.0336404,  ,  ,  
669,5.087784509,  ,  ,  
670,5.089661686,  ,  ,  
671,5.118301483,  ,  ,  
672,5.112545811,  ,  ,  
673,5.094200968,  ,  ,  
674,5.09422131,  ,  ,  
675,5.089139189,  ,  ,  
676,5.1288589,  ,  ,  
677,5.119157759,  ,  ,  
678,5.137276807,HIGH*,  ,  
679,5.103978805,LOW*,  ,  
680,5.134616135,  ,  ,  
681,5.136325419,  ,  ,  
682,5.148470698,  ,  ,  
683,5.138264569,  ,  ,  
684,5.181639721,  ,  ,  
685,5.266943758,  ,  ,  
686,5.24363906,  ,  ,  
687,5.212704985,  ,  ,  
688,5.258765857,  ,  ,  
689,5.426014295,  ,  ,  
690,5.446169422,  ,  ,  
691,5.58716981,  ,  ,  
692,5.622529102,HIGH*,  ,  
693,5.557002335,  ,  ,  
694,5.457893569,LOW*,  ,  
695,5.586996982,  ,  ,  
696,5.727491299,  ,  ,  
697,5.909301324,  ,  ,  
698,5.962023182,  ,  ,  
699,6.523380719,  ,  ,  
700,6.444158282,  ,  ,  
701,6.199966488,  ,  ,  
702,6.310844669,  ,  ,  
703,6.494826716,  ,  ,  
704,6.693551056,HIGH*,  ,  
705,6.672262504,  ,  ,  
706,6.563761698,  ,  ,  
707,6.447541689,  ,  ,  
